id-mapa;anio;mes;dia;fecha;franja;tipo;subtipo;uso_armas;barrio;comuna;latitud;longitud;cantidad;condena
HC-2021-1008202;2021;Enero;Viernes;1/1/2021;20;Robo (con violencia);;;Almagro;5;-34,605575;-58,414834;;37
HC-2021-1009094;2021;Febrero;Martes;9/2/2021;10;Robo (con violencia);;;Villa Pueyrredón;12;-34,572136;-58,50552;;42
HC-2021-1013236;2021;Enero;Viernes;15/1/2021;7;Robo (con violencia);;;Mataderos;9;-34,669922;-58,503963;;39
HC-2021-1014154;2021;Marzo;Viernes;19/3/2021;7;Robo (con violencia);;;Caballito;6;-34,616204;-58,442748;;33
HC-2021-1015476;2021;Mayo;Sábado;1/5/2021;11;Hurto (sin violencia);;;Monte Castro;10;-34,625449;-58,518825;;16
HC-2021-1017438;2021;Junio;Jueves;17/6/2021;18;Hurto (sin violencia);;;Mataderos;9;-34,656717;-58,508958;;23
HC-2021-1024905;2021;Febrero;Viernes;5/2/2021;10;Hurto (sin violencia);;;Flores;7;-34,62925;-58,464112;;33
HC-2021-1033277;2021;Abril;Domingo;11/4/2021;14;Hurto (sin violencia);;;Balvanera;3;-34,610236;-58,40767;;17
HC-2021-1033436;2021;Enero;Domingo;31/1/2021;SD;Hurto (sin violencia);;;Almagro;5;-34,602062;-58,42063;;5
HC-2021-1033480;2021;Junio;Viernes;4/6/2021;20;Hurto (sin violencia);;;Monserrat;1;-34,614716;-58,387854;;11
HC-2021-1040571;2021;Marzo;Martes;16/3/2021;14;Robo (con violencia);;;San Cristóbal;3;-34,625237;-58,406575;;4
HC-2021-1043565;2021;Enero;Domingo;10/1/2021;20;Hurto (sin violencia);;;Coghlan;12;-34,561011;-58,47957;;9
HC-2021-1044871;2021;Febrero;Viernes;12/2/2021;11;Robo (con violencia);;;Chacarita;15;-34,578618;-58,459629;;44
HC-2021-1047185;2021;Febrero;Martes;16/2/2021;10;Hurto (sin violencia);;;Almagro;5;-34,60669;-58,418862;;4
HC-2021-1054311;2021;Junio;Jueves;3/6/2021;8;Robo (con violencia);Con uso de moto;;Palermo;14;-34,581879;-58,430045;;41
HC-2021-1066981;2021;Enero;Viernes;15/1/2021;SD;Robo (con violencia);;;Caballito;6;-34,627155;-58,450996;;4
HC-2021-1070071;2021;Mayo;Martes;4/5/2021;21;Robo (con violencia);;;Belgrano;13;-34,554021;-58,450151;;43
HC-2021-1077157;2021;Mayo;Sábado;8/5/2021;15;Hurto (sin violencia);;;Flores;7;-34,626368;-58,471575;;39
HC-2021-1077700;2021;Febrero;Jueves;18/2/2021;1;Lesiones;Siniestro Vial;;Villa Lugano;8;-34,67907;-58,477447;2;3
HC-2021-1085103;2021;Abril;Lunes;26/4/2021;21;Robo (con violencia);;;Villa Lugano;8;-34,667133;-58,48862;;27
HC-2021-1086585;2021;Mayo;Miércoles;26/5/2021;8;Robo (con violencia);;;Villa Crespo;15;-34,599803;-58,430192;;35
HC-2021-1091404;2021;Marzo;Viernes;12/3/2021;7;Robo (con violencia);;;Villa Lugano;8;-34,666853;-58,490669;;43
HC-2021-1096205;2021;Mayo;Martes;11/5/2021;11;Hurto (sin violencia);;;Recoleta;2;-34,594707;-58,390092;;18
HC-2021-1102709;2021;Marzo;Martes;16/3/2021;16;Lesiones;Siniestro Vial;;Villa Luro;10;-34,6378;-58,502046;1;27
